"score","a","b","doubtful","sex","length_cm","length_type","r2","sd_b","sd_log10_a","n","country","locality","species","family","length_cm_min","length_cm_max"
0.7,0.0406,2.884,NA,"unsexed","10.0- 35.0","SL",NA,NA,NA,NA,"Hungary","Lake Balaton, northeast, 1982-83","Abramis brama","Cyprinidae",10,35
0.7,0.0415,2.887,NA,"unsexed","15.0- 38.0","SL",NA,NA,NA,NA,"Hungary","Lake Balaton, southwest, 1982-83","Abramis brama","Cyprinidae",15,38
0.5,0.0263,2.96,NA,"unsexed","","SL",NA,NA,NA,NA,"Czechia","Berounka river","Abramis brama","Cyprinidae",NA,NA
0.94,0.0111,2.97,NA,"unsexed","10.7- 30.5","TL",0.941,0.763,NA,449,"Greece","Lake Volvi (Macedonia), 1995-96","Abramis brama","Cyprinidae",10.7,30.5
0.5,0.024,2.98,NA,"unsexed","","TL",NA,NA,NA,NA,"Romania","Isacova, Danube Delta","Abramis brama","Cyprinidae",NA,NA
0.5,0.025,3,NA,"unsexed","","",NA,NA,NA,NA,"","Azov Sea, brackish","Abramis brama","Cyprinidae",NA,NA
0.99,0.0201,3.005,NA,"unsexed","","SL",0.994,NA,NA,126,"Hungary","Lake Balaton, 1995","Abramis brama","Cyprinidae",NA,NA
1,0.0206,3.012,NA,"mixed","7.0- 53.0","FL",0.997,NA,NA,112,"Russia","Ladoga Lake","Abramis brama","Cyprinidae",7,53
0.5,0.02153,3.02,NA,"unsexed","","",NA,NA,NA,NA,"Poland","Lake Dabie (1974-1977)","Abramis brama","Cyprinidae",NA,NA
0.99,0.0103,3.031,NA,"unsexed","","TL",0.986,NA,NA,2704,"Romania","Puiu-Rosu, Danube Delta","Abramis brama","Cyprinidae",NA,NA
1,0.0182,3.061,NA,"mixed","8.0- 45.0","",0.999,NA,NA,NA,"Russia","Volga river estuary","Abramis brama","Cyprinidae",8,45
0.5,0.018,3.07,NA,"unsexed","","TL",NA,NA,NA,NA,"Romania","Uzlina, Danube Delta","Abramis brama","Cyprinidae",NA,NA
0.5,0.007,3.11,NA,"unsexed","","TL",NA,NA,NA,NA,"Romania","Gorgova, Danube Delta","Abramis brama","Cyprinidae",NA,NA
0.5,0.008,3.13,NA,"unsexed","","TL",NA,NA,NA,NA,"Romania","Sinoe, Danube Delta","Abramis brama","Cyprinidae",NA,NA
0.5,0.01373,3.145,NA,"unsexed","","",NA,NA,NA,NA,"Poland","River Regalica (1974-1977)","Abramis brama","Cyprinidae",NA,NA
0.99,0.0064,3.175,NA,"unsexed","3.4- 59.0","TL",0.99,0.006,0.0068,6210,"Belgium","Flanders (Yser, Scheldt and Meuse drainage basin), 1992-2009","Abramis brama","Cyprinidae",3.4,59
0.7,0.0082,3.18,NA,"male","11.7- 32.0","FL",NA,NA,NA,655,"Greece","Lake Volvi, 1990","Abramis brama","Cyprinidae",11.7,32
0.5,0.005,3.19,NA,"unsexed","","TL",NA,NA,NA,NA,"Romania","Fortuna, Danube Delta","Abramis brama","Cyprinidae",NA,NA
0.99,0.011,3.207,NA,"unsexed","7.0- 38.0","TL",0.99,0.039,0.0546,265,"China","Ergis River (47°00'00""- 49°10'45""N; 85°31'57""- 90°31'15""E), 2008","Abramis brama","Cyprinidae",7,38
0.7,0.0075,3.21,NA,"female","11.9- 36.3","FL",NA,NA,NA,654,"Greece","Lake Volvi, 1990","Abramis brama","Cyprinidae",11.9,36.3
0.6,0.00653,3.211,NA,"unsexed","","TL",NA,NA,NA,947,"Romania","Razim, Danube Delta","Abramis brama","Cyprinidae",NA,NA
0.5,0.005,3.24,NA,"unsexed","","TL",NA,NA,NA,NA,"Romania","Trei Lezere, Danube Delta","Abramis brama","Cyprinidae",NA,NA
0.99,0.0045,3.25,NA,"unsexed","20.9- 39.7","TL",0.993,0.005,NA,21,"Turkey","Terkos Dam, Marmara, 2000-2002","Abramis brama","Cyprinidae",20.9,39.7
0.5,0.004,3.33,NA,"unsexed","","TL",NA,NA,NA,NA,"Romania","Baclanesti, Danube Delta","Abramis brama","Cyprinidae",NA,NA
0.5,0.003,3.38,NA,"unsexed","","TL",NA,NA,NA,NA,"Romania","Matita-Merhei, Danube Delta","Abramis brama","Cyprinidae",NA,NA
0,0.01783,3,"","unsexed","14.9- 18.2","TL",NA,NA,NA,2,"","","Abudefduf abdominalis","Pomacentridae",14.9,18.2
0,0.03848,3,"yes","unsexed","11.2- 14.5","SL",NA,NA,NA,2,"","","Abudefduf abdominalis","Pomacentridae",11.2,14.5
0.99,0.0369,3.13,"","juvenile","2.7- 11.7","FL",0.99,0.04,0.0512,46,"Hawaii","Hawaiian islands / 2012-2014","Abudefduf abdominalis","Pomacentridae",2.7,11.7
0,0.00549,3,NA,"unsexed","","SL",NA,NA,NA,1,NA,NA,"Abudefduf hoefleri","Pomacentridae",NA,NA
0,0.02098,3,NA,"unsexed","6.2- 6.2","TL",NA,NA,NA,1,NA,NA,"Abudefduf hoefleri","Pomacentridae",6.2,6.2
0.99,0.0246,2.85,NA,"unsexed","1.5- 7.0","TL",0.987,0.05,NA,156,"Brazil","Praia dos Castelhanos, Espírito Santo, 2005-07","Abudefduf saxatilis","Pomacentridae",1.5,7
0.7,0.017,3.12,NA,"unsexed","3.0- 13.0","FL",NA,NA,NA,18,"Cuba","Southwest Zone","Abudefduf saxatilis","Pomacentridae",3,13
0.98,0.0227,3.142,NA,"unsexed","1.8- 14.3","FL",0.98,0.509,0.8046,35,"USA","Southern Florida","Abudefduf saxatilis","Pomacentridae",1.8,14.3
0.96,0.0187,3.392,NA,"unsexed","10.1- 20.1","TL",0.962,0.52,NA,55,"Cape Verde","Cape Verde Archipelago / 2008-2013","Abudefduf saxatilis","Pomacentridae",10.1,20.1
0.98,0.0249,3.11,NA,"unsexed","6.0- 14.5","FL",0.982,NA,NA,73,"New Caledonia",NA,"Abudefduf sexfasciatus","Pomacentridae",6,14.5
0.96,0.02128,3.152,NA,"mixed","5.0- 15.0","FL",0.962,NA,NA,98,"New Caledonia",NA,"Abudefduf sexfasciatus","Pomacentridae",5,15
0,0.00445,3,NA,"unsexed","","SL",NA,NA,NA,1,"","","Abudefduf sordidus","Pomacentridae",NA,NA
0,0.02463,3,NA,"unsexed","20.1- 20.1","TL",NA,NA,NA,1,"","","Abudefduf sordidus","Pomacentridae",20.1,20.1
0.5,0.0164,3.142,NA,"mixed","","TL",NA,NA,NA,NA,"Philippines","Presumably Philippines.","Abudefduf sordidus","Pomacentridae",NA,NA
0.99,0.0358,3.18,NA,"unsexed","2.1- 19.3","FL",0.99,0.1,0.0611,8,"Hawaii","Hawaiian islands / 2012-2014","Abudefduf sordidus","Pomacentridae",2.1,19.3
0.96,0.0874,2.779,"","unsexed","3.4- 11.5","SL",0.963,0.112,0.0958,97,"Philippines","Davao Gulf / 2009-2012","Abudefduf vaigiensis","Pomacentridae",3.4,11.5
0,0.03,2.8,"yes","juvenile","3.0- 8.4","TL",0.978,NA,NA,166,"Philippines","Malatapay, Negros Oriental, 1995","Abudefduf vaigiensis","Pomacentridae",3,8.4
0.87,0.00989,3.267,"","unsexed","7.8- 17.9","TL",0.87,NA,NA,103,"India","Lakshadweep lagoons, 1993-97","Abudefduf vaigiensis","Pomacentridae",7.8,17.9
0,0.00489,3,NA,"unsexed","","SL",NA,NA,NA,1,"",NA,"Abudefduf whitleyi","Pomacentridae",NA,NA
0,0.01782,3,NA,"unsexed","21.0- 21.0","TL",NA,NA,NA,1,"",NA,"Abudefduf whitleyi","Pomacentridae",21,21
0.99,0.02544,3.093,NA,"mixed","5.0- 15.5","FL",0.992,NA,NA,34,"New Caledonia",NA,"Abudefduf whitleyi","Pomacentridae",5,15.5
0,0.0217,3,NA,"unsexed",NA,"TL",NA,NA,NA,1,"Russia","Lake Baikal","Abyssocottus gibbosus","Abyssocottidae",NA,NA
0,0.00994,3,NA,"unsexed",NA,"TL",NA,NA,NA,1,"Russia","Lake Baikal","Abyssocottus korotneffi","Abyssocottidae",NA,NA
1,0.00771,2.962,NA,"unsexed","3.0- 3.0","TL",1,0,0,1,"USA","Southern Florida","Acanthemblemaria aspera","Chaenopsidae",3,3
0.98,0.0063,3.217,NA,"unsexed","2.4- 5.2","TL",0.976,0.515,NA,32,"Mexico","Bahía de La Paz (24°06'-24°48'N; 110°15'-110°39'W), Gulf of California, 2000-2003","Acanthemblemaria balanorum","Chaenopsidae",2.4,5.2
0.91,0.00957,2.627,NA,"unsexed","1.6- 4.5","TL",0.914,0.818,NA,63,"Mexico","Bahía de La Paz (24°06'-24°48'N; 110°15'-110°39'W), Gulf of California, 2000-2003","Acanthemblemaria crockeri","Chaenopsidae",1.6,4.5
0,0.1038,2.497,"yes","unsexed","27.0- 41.6","TL",0.55,3.3,NA,9,"Chile","Northern and central coast of Chile/ 2004-2005; 2012-2013.","Acanthistius pictus","Serranidae",27,41.6
0.96,0.00563,3.168,NA,"mixed","9.2- 28.6","TL",0.96,0.036,NA,62,"Turkey","Atatürk Dam, southeastern Anatolia, 2005 (May-June)","Acanthobrama marmid","Cyprinidae",9.2,28.6
0.6,0.0118,3.052,NA,"female",NA,NA,NA,NA,NA,536,"Turkey","Aras river, 1996-1998","Acanthobrama microlepis","Cyprinidae",NA,NA
0.6,0.0099,3.098,NA,"male",NA,NA,NA,NA,NA,569,"Turkey","Aras river, 1996-1998","Acanthobrama microlepis","Cyprinidae",NA,NA
0.98,0.0076,3.391,NA,"mixed","5.0- 9.7","TL",0.976,NA,NA,10,"Iran",NA,"Acanthobrama persidis","Cyprinidae",5,9.7
0.95,7e-04,3.35,NA,"unsexed","8.9- 16.8","TL",0.95,NA,NA,17,"Iran","Hormozgan waters / 2012","Acanthocepola abbreviata","Cepolidae",8.9,16.8
0.94,0.0429,3.045,NA,"unsexed","7.5- 10.0","SL",0.944,0.444,0.4256,15,"Philippines","Davao Gulf / 2009-2012","Acanthochromis polyacanthus","Pomacentridae",7.5,10
0.5,0.0135,3.312,NA,"mixed","","TL",NA,NA,NA,NA,"Philippines","Presumably Philippines.","Acanthochromis polyacanthus","Pomacentridae",NA,NA
1,0.00966,2.964,NA,"unsexed","1.7- 12.6","TL",0.998,NA,NA,15,"New Zealand","north-eastern waters","Acanthoclinus littoreus","Plesiopidae",1.7,12.6
0.95,0.0162,2.72,NA,"unsexed","4.7- 7.3","TL",0.952,0.2,0.1488,39,"India","Rangandadi River / 2013","Acanthocobitis botia","Nemacheilidae",4.7,7.3
0.97,0.019,2.857,NA,"unsexed","4.0- 7.7","TL",0.973,0.063,0.0458,17,"India","Kosi River (29°27'48''N; 79°28' 81''E) of Uttarakhand (a Ganga River Basin tributary), 2013-14","Acanthocobitis botia","Nemacheilidae",4,7.7
0.5,0.0044,3.082,NA,"unsexed","","TL",NA,NA,NA,NA,"USA","Florida","Acanthocybium solandri","Scombridae",NA,NA
0.6,0.00327,3.181,NA,"male","","TL",NA,NA,NA,178,"USA","North Carolina","Acanthocybium solandri","Scombridae",NA,NA
0.5,0.00251,3.19,NA,"unsexed","","FL",NA,NA,NA,NA,"South Africa","","Acanthocybium solandri","Scombridae",NA,NA
0.5,0.00328,3.192,NA,"female","","TL",NA,NA,NA,NA,"USA","North Carolina","Acanthocybium solandri","Scombridae",NA,NA
0.6,0.00323,3.201,NA,"mixed","","TL",NA,NA,NA,91,"Bahamas","","Acanthocybium solandri","Scombridae",NA,NA
0.6,0.00267,3.247,NA,"mixed","","TL",NA,NA,NA,32,"USA","Maryland","Acanthocybium solandri","Scombridae",NA,NA
0.98,0.0016,3.275,NA,"unsexed","82.6- 176.0","FL",0.978,NA,NA,43,"Brazil","Central coast, 1993-2000","Acanthocybium solandri","Scombridae",82.6,176
0.5,0.00303,3.294,NA,"mixed","","FL",NA,NA,NA,NA,"USA","Eastern coast","Acanthocybium solandri","Scombridae",NA,NA
0.6,0.00047,3.502,NA,"mixed","","TL",NA,NA,NA,72,"Bermuda","","Acanthocybium solandri","Scombridae",NA,NA
0,0.01103,3,NA,"unsexed","15.3- 15.3","TL",NA,NA,NA,1,NA,NA,"Acanthogobius flavimanus","Gobiidae",15.3,15.3
0,0.03087,2.43,"yes","unsexed","11.1- 28.1","TL",0.98,0.1,0.1233,44,"Korea (South)","Saemangeum Reservoir / 2013","Acanthogobius hasta","Gobiidae",11.1,28.1
0.78,0.01266,2.562,NA,"unsexed","4.5- 7.4","TL",0.779,1.418,NA,26,"Korea (South)","Gamak Bay / 2007-2008","Acanthogobius lactipes","Gobiidae",4.5,7.4
0.75,0.0108,3.074,NA,"unsexed","13.3- 23.5","TL",0.75,NA,NA,258,"Portugal","Nazaré to St André, 1997","Acantholabrus palloni","Labridae",13.3,23.5
0.6,0.0287,2.792,NA,"unsexed","","",NA,NA,NA,1031,"Kuwait","1981-85","Acanthopagrus arabicus","Sparidae",NA,NA
0.99,0.0543,2.858,NA,"unsexed","9.2- 34.5","SL",0.994,NA,NA,216,"Kuwait","1974-75","Acanthopagrus arabicus","Sparidae",9.2,34.5
1,0.0342,3.012,NA,"unsexed","2.1- 25.5","SL",0.998,NA,NA,92,"South Africa","estuaries, 1993-99","Acanthopagrus berda","Sparidae",2.1,25.5
0.5,0.0171,3.016,NA,"unsexed","","",NA,NA,NA,NA,"Kuwait","","Acanthopagrus berda","Sparidae",NA,NA
0.5,0.0128,3.091,NA,"unsexed","","",NA,NA,NA,NA,"South Africa","","Acanthopagrus berda","Sparidae",NA,NA
0.99,0.0151,3.092,NA,"mixed","10.8- 36.7","TL",0.985,0.399,NA,21,"Pakistan","Indus delta / 1999-2001.","Acanthopagrus berda","Sparidae",10.8,36.7
0.5,0.039,2.91,NA,"unsexed",NA,"",NA,NA,NA,NA,"Yemen","Gulf of Aden","Acanthopagrus bifasciatus","Sparidae",NA,NA
0.5,0.0176,3.001,NA,"unsexed",NA,"",NA,NA,NA,NA,"Kuwait","","Acanthopagrus bifasciatus","Sparidae",NA,NA
0.5,0.0312,3.02,NA,"mixed",NA,"FL",NA,NA,NA,NA,"United Arab Em.","off Abu Dhabi, 2000-2003","Acanthopagrus bifasciatus","Sparidae",NA,NA
0.99,0.0148,3.01,NA,"female",NA,"TL",0.99,NA,NA,274,"Australia","Wellstead Estuary (southern west coast)","Acanthopagrus butcheri","Sparidae",NA,NA
0.99,0.0138,3.03,NA,"male",NA,"TL",0.99,NA,NA,278,"Australia","Wellstead Estuary (southern west coast)","Acanthopagrus butcheri","Sparidae",NA,NA
0.99,0.01202,3.07,NA,"female",NA,"TL",0.99,NA,NA,302,"Australia","Nornalup Walpole Estuary (southern west coast)","Acanthopagrus butcheri","Sparidae",NA,NA
0.99,0.0115,3.09,NA,"male",NA,"TL",0.99,NA,NA,234,"Australia","Nornalup Walpole Estuary (southern west coast)","Acanthopagrus butcheri","Sparidae",NA,NA
0.99,0.0107,3.13,NA,"female",NA,"TL",0.99,NA,NA,250,"Australia","Moore River Estuary (southern west coast)","Acanthopagrus butcheri","Sparidae",NA,NA
0.99,0.0112,3.14,NA,"female",NA,"TL",0.99,NA,NA,865,"Australia","Swan River Estuary (southern west coast)","Acanthopagrus butcheri","Sparidae",NA,NA
0.99,0.01096,3.14,NA,"male",NA,"TL",0.99,NA,NA,925,"Australia","Swan River Estuary (southern west coast)","Acanthopagrus butcheri","Sparidae",NA,NA
0.99,0.0105,3.14,NA,"mixed",NA,"TL",0.99,NA,NA,100,"Australia","Lake Clifton, Western Australia","Acanthopagrus butcheri","Sparidae",NA,NA
0.99,0.0102,3.15,NA,"male",NA,"TL",0.99,NA,NA,287,"Australia","Moore River Estuary (southern west coast)","Acanthopagrus butcheri","Sparidae",NA,NA
0.97,0.0195,3.015,NA,"mixed","12.6- 29.3","TL",0.965,0.584,NA,43,"Pakistan","Indus delta / 1999-2001.","Acanthopagrus latus","Sparidae",12.6,29.3
0.99,0.0238,3.022,NA,"unsexed","5.0- 36.0","FL",0.986,NA,NA,340,"New Caledonia","lagoon","Acanthopagrus pacificus","Sparidae",5,36
0.99,0.02235,3.044,NA,"mixed","5.0- 36.0","FL",0.992,NA,NA,295,"New Caledonia","","Acanthopagrus pacificus","Sparidae",5,36
0.99,0.04,2.95,NA,"unsexed","9.4- 28.7","SL",0.99,NA,NA,68,"Taiwan","southwestern coast of Taiwan / 2009-2010","Acanthopagrus schlegelii","Sparidae",9.4,28.7
0,0.02276,3,NA,"unsexed","52.0- 52.0","TL",NA,NA,NA,1,"","","Acanthopagrus schlegelii","Sparidae",52,52
0,0.0205,3,NA,"unsexed","46.0- 51.0","FL",NA,NA,NA,3,NA,NA,"Acanthopagrus sivicolus","Sparidae",46,51
0.7,0.00548,3.147,NA,"mixed","11.0- 42.0","TL",NA,NA,NA,837,"Russia","Peter the Great Bay","Acanthopsetta nadeshnyi","Pleuronectidae",11,42
0.95,0.004,3.457,NA,"unsexed","5.7- 10.0","TL",0.947,0.153,0.0969,114,"China","Jiangsu province / 2012-2013","Acanthorhodeus chankaensis","Cyprinidae",5.7,10
0.96,0.011,3.5,NA,"unsexed","5.8- 7.9","SL",0.964,0.32,-0.2016,25,"China","Tian-e-zhou Oxbow, Yangtze River, Mar 2010-May 2011","Acanthorhodeus chankaensis","Cyprinidae",5.8,7.9
0.91,0.0517,2.679,NA,"unsexed","13.2- 41.7","FL",0.91,NA,NA,203,"Puerto Rico","","Acanthostracion polygonius","Ostraciidae",13.2,41.7
0.7,0.105,2.69,NA,"unsexed","10.3- 31.0","SL",NA,NA,NA,84,"Colombia","Gulf of Salamanca, 1995-97","Acanthostracion polygonius","Ostraciidae",10.3,31
0.94,0.00516,3.346,NA,"unsexed","20.0- 30.0","TL",0.94,0.999,0.1347,6,"USA","Southern Florida","Acanthostracion polygonius","Ostraciidae",20,30
0.7,0.153,2.25,"","unsexed","5.0- 32.0","TL",NA,NA,NA,181,"Cuba","Southwest Zone","Acanthostracion quadricornis","Ostraciidae",5,32
0.87,0.175,2.263,"","unsexed","8.8- 55.0","TL",0.869,0.891,1.051,177,"USA","Southern Florida","Acanthostracion quadricornis","Ostraciidae",8.8,55
0,0.0253,2.41,"yes","unsexed","11.0- 22.5","SL",NA,NA,NA,22,"Colombia","Gulf of Salamanca, Caribbean, 1995-98","Acanthostracion quadricornis","Ostraciidae",11,22.5
0,0.00359,3.418,"yes","unsexed","24.4- 33.0","TL",0.91,NA,NA,9,"Virgin Is. (US)","St. Croix","Acanthostracion quadricornis","Ostraciidae",24.4,33
0,0.00245,3,NA,"unsexed","17.0- 25.0","TL",NA,NA,NA,2,NA,NA,"Acanthurus achilles","Acanthuridae",17,25
0,0.00412,3,NA,"unsexed","14.9- 20.2","SL",NA,NA,NA,2,NA,NA,"Acanthurus achilles","Acanthuridae",14.9,20.2
0.98,0.0348,2.689,NA,"mixed","2.8- 9.1","TL",0.978,0.4,NA,111,"","Grand Cul-de-Sac Marin Bay (Guadelopue) and Bay of Fort-de-France (Martinique)","Acanthurus bahianus","Acanthuridae",2.8,9.1
0.99,0.026,2.87,NA,"unsexed","3.6- 12.8","TL",0.993,0.04,NA,109,"Brazil","Praia dos Castelhanos, Espírito Santo, 2005-07","Acanthurus bahianus","Acanthuridae",3.6,12.8
0.99,0.0237,2.975,NA,"unsexed","3.5- 24.3","FL",0.99,0.361,0.4147,29,"USA","Southern Florida","Acanthurus bahianus","Acanthuridae",3.5,24.3
0.7,0.0191,3.08,NA,"unsexed","10.5- 18.5","FL",NA,NA,NA,142,"Jamaica","","Acanthurus bahianus","Acanthuridae",10.5,18.5
0.99,0.02506,3.032,NA,"mixed","2.5- 38.0","FL",0.992,NA,NA,249,"New Caledonia","","Acanthurus blochii","Acanthuridae",2.5,38
0.99,0.0178,3.144,NA,"unsexed","2.5- 37.0","FL",0.986,NA,NA,89,"New Caledonia","lagoon","Acanthurus blochii","Acanthuridae",2.5,37
0.7,0.0294,2.33,NA,"unsexed","11.9- 24.0","SL",NA,NA,NA,28,"Colombia","Gulf of Salamanca, 1995-97","Acanthurus chirurgus","Acanthuridae",11.9,24
0.89,0.0512,2.744,NA,"unsexed","16.0- 32.0","FL",0.89,NA,NA,139,"Virgin Is. (US)","St. Thomas/St. John","Acanthurus chirurgus","Acanthuridae",16,32
0.99,0.0282,2.814,NA,"mixed","3.0- 7.8","TL",0.985,0.357,NA,69,"","Grand Cul-de-Sac Marin Bay (Guadelopue) and Bay of Fort-de-France (Martinique)","Acanthurus chirurgus","Acanthuridae",3,7.8
0.99,0.024,2.93,NA,"unsexed","3.5- 11.2","TL",0.994,0.07,NA,43,"Brazil","Praia dos Castelhanos, Espírito Santo, 2005-07","Acanthurus chirurgus","Acanthuridae",3.5,11.2
0.7,0.0224,3,NA,"unsexed","17.5- 33.7","FL",NA,NA,NA,227,"Virgin Is. (US)","St. Croix","Acanthurus chirurgus","Acanthuridae",17.5,33.7
0.7,0.0221,3.009,NA,"unsexed","6.5- 24.5","FL",NA,NA,NA,271,"Jamaica","","Acanthurus chirurgus","Acanthuridae",6.5,24.5
0.94,0.00405,3.533,NA,"unsexed","3.9- 30.4","FL",0.94,0.898,1.1247,61,"USA","Southern Florida","Acanthurus chirurgus","Acanthuridae",3.9,30.4
0.97,0.0415,2.835,NA,"unsexed","3.5- 30.4","FL",0.97,0.516,1.5483,394,"USA","Southern Florida","Acanthurus coeruleus","Acanthuridae",3.5,30.4
0.7,0.0286,3,NA,"unsexed","13.5- 28.5","FL",NA,NA,NA,410,"Virgin Is. (US)","St. Thomas/St. John","Acanthurus coeruleus","Acanthuridae",13.5,28.5
0.7,0.0305,3,NA,"unsexed","10.0- 29.5","FL",NA,NA,NA,2767,"Virgin Is. (US)","St. Croix","Acanthurus coeruleus","Acanthuridae",10,29.5
0.7,0.0278,3.022,NA,"unsexed","8.5- 24.5","FL",NA,NA,NA,276,"Jamaica","","Acanthurus coeruleus","Acanthuridae",8.5,24.5
0.97,0.0554,2.799,NA,"unsexed","2.5- 51.5","FL",0.968,NA,NA,89,"New Caledonia","lagoon","Acanthurus dussumieri","Acanthuridae",2.5,51.5
0.99,0.04256,2.868,NA,"mixed","2.5- 51.5","FL",0.986,NA,NA,95,"New Caledonia","","Acanthurus dussumieri","Acanthuridae",2.5,51.5
0,0.00286,3,NA,"unsexed","21.6- 21.6","TL",NA,NA,NA,1,NA,NA,"Acanthurus guttatus","Acanthuridae",21.6,21.6
0,0.00537,3,NA,"unsexed","","SL",NA,NA,NA,1,NA,NA,"Acanthurus guttatus","Acanthuridae",NA,NA
0,0.00284,3,NA,"unsexed","20.0- 20.0","TL",NA,NA,NA,1,NA,NA,"Acanthurus leucopareius","Acanthuridae",20,20
0,0.00534,3,NA,"unsexed","","SL",NA,NA,NA,1,NA,NA,"Acanthurus leucopareius","Acanthuridae",NA,NA
0.95,0.0286,2.921,"","unsexed","10.7- 18.7","TL",0.951,NA,NA,73,"India","Lakshadweep lagoons, 1993-97","Acanthurus leucosternon","Acanthuridae",10.7,18.7
0,0.00515,3,"yes","unsexed","","SL",NA,NA,NA,1,"","","Acanthurus leucosternon","Acanthuridae",NA,NA
0,0.109,2.691,"yes","unsexed","7.6- 20.6","SL",0.962,NA,NA,94,"Australia","Eastern coast, coral reefs","Acanthurus lineatus","Acanthuridae",7.6,20.6
0.99,0.0251,3.03,"","mixed","","FL",0.99,NA,NA,1047,"American Samoa","Tutuila Island","Acanthurus lineatus","Acanthuridae",NA,NA
0.96,0.0126,3.064,"","unsexed","8.2- 27.4","TL",0.958,NA,NA,54,"India","Lakshadweep lagoons, 1993-97","Acanthurus lineatus","Acanthuridae",8.2,27.4
0.98,0.0192,3.072,"","unsexed","","",0.976,NA,NA,NA,"Micronesia","Woleai Atoll, Yap State, 1991","Acanthurus lineatus","Acanthuridae",NA,NA
0.97,0.0849,2.713,NA,"unsexed","10.0- 19.0","SL",0.971,NA,0.245,23,"Philippines","Davao Gulf / 2009-2012","Acanthurus mata","Acanthuridae",10,19
0.98,0.027,2.945,NA,"unsexed","10.0- 29.5","FL",0.98,NA,NA,48,"New Caledonia","lagoon","Acanthurus mata","Acanthuridae",10,29.5
0.98,0.02224,3.008,NA,"mixed","10.0- 29.5","FL",0.98,NA,NA,48,"New Caledonia","","Acanthurus mata","Acanthuridae",10,29.5
0.7,0.0412,2.85,NA,"unsexed","19.0- 38.0","TL",NA,NA,NA,378,"Cape Verde","1984","Acanthurus monroviae","Acanthuridae",19,38
0.7,0.0181,3.09,NA,"unsexed","17.0- 42.0","TL",NA,NA,NA,391,"Cape Verde","1985","Acanthurus monroviae","Acanthuridae",17,42
0.9,0.067,2.669,NA,"unsexed",NA,NA,0.904,NA,NA,NA,"Micronesia","Woleai atoll, Yap State","Acanthurus nigricans","Acanthuridae",NA,NA
0.83,0.08,2.61,NA,"unsexed","","",0.828,NA,NA,NA,"Papua New Guinea","Northern coast","Acanthurus nigricauda","Acanthuridae",NA,NA
0.9,0.067,2.669,NA,"unsexed","","",0.904,NA,NA,NA,"Micronesia","Woleai Atoll, Yap State, 1991","Acanthurus nigricauda","Acanthuridae",NA,NA
0.99,0.0312,2.759,NA,"unsexed","9.5- 23.1","TL",0.99,NA,NA,16,"India","Lakshadweep lagoons, 1993-97","Acanthurus nigricauda","Acanthuridae",9.5,23.1
0.99,0.0261,3.024,NA,"unsexed","7.5- 22.5","FL",0.992,NA,NA,24,"New Caledonia","","Acanthurus nigricauda","Acanthuridae",7.5,22.5
0.99,0.01678,3.168,NA,"mixed","4.6- 22.5","FL",0.99,NA,NA,51,"New Caledonia","","Acanthurus nigricauda","Acanthuridae",4.6,22.5
0.96,0.096,2.52,NA,"unsexed","","",0.96,NA,NA,NA,"Papua New Guinea","Northern coast","Acanthurus nigrofuscus","Acanthuridae",NA,NA
